SummitCode,AssociationName,RegionName,SummitName,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
4O/IC-001,Montenegro,Istok Crne Gore,Maja Rosit,19.8505,42.4795,10,3,43525,73050,1,44769,4O/SQ9MDF/P
4O/IC-006,Montenegro,Istok Crne Gore,Hajla,20.1388,42.7575,10,3,43525,73050,1,44450,4O/S55VN/P
9A/DH-083,Croatia,DalmatinskaHrvatska (Dalmatian Croatia),ÄŒaroviÄ‡,17.537,42.85789,2,3,42309,73050,1,43703,9A6ZE/P
9A/DH-084,Croatia,DalmatinskaHrvatska (Dalmatian Croatia),Gradina,17.94696,42.74274,2,3,42309,73050,1,44728,9A6ZE/P
9A/GH-126,Croatia,GorskaHrvatska (Mountainous Croatia),Debela lipa,14.74675,45.37153,6,3,42309,73050,3,44478,9A6ZE/P
9A/GH-129,Croatia,GorskaHrvatska (Mountainous Croatia),OpÄuv,15.88587,44.40913,6,3,42309,73050,1,44702,9A6ZE/P
9A/GH-132,Croatia,GorskaHrvatska (Mountainous Croatia),OÅ¡tri vrh,15.0074,45.39387,6,3,42309,73050,6,45053,9A6ZE/P
9A/GH-137,Croatia,GorskaHrvatska (Mountainous Croatia),Doren vrh,14.76498,45.41765,6,3,42309,73050,3,44345,9A6ZE/P
